Benchmark,NeuralNet,WeightUpdateRule,eta,theta,gamma,epsilon,beta_1,beta_2,lambda,MSE
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,0.0001,0.9,0.995,0.0001,nan
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,0.0001,0.9,0.999,0.0001,nan
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,0.0001,0.95,0.99,0.0001,nan
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,0.0001,0.95,0.995,0.0001,nan
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,0.0001,0.95,0.999,0.0001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-10,0.8,0.99,0.0001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-10,0.8,0.995,0.0001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-10,0.8,0.999,0.0001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-10,0.9,0.99,0.0001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-10,0.9,0.995,0.0001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-10,0.9,0.999,0.0001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-10,0.95,0.99,0.0001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-10,0.95,0.995,0.0001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-10,0.95,0.999,0.0001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-08,0.8,0.99,0.0001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-08,0.8,0.995,0.0001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-08,0.8,0.999,0.0001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-08,0.9,0.99,0.0001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-08,0.9,0.995,0.0001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-08,0.9,0.999,0.0001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-08,0.95,0.99,0.0001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-08,0.95,0.995,0.0001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-08,0.95,0.999,0.0001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-06,0.8,0.99,0.0001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-06,0.8,0.995,0.0001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-06,0.8,0.999,0.0001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-06,0.9,0.99,0.0001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-06,0.9,0.995,0.0001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-06,0.9,0.999,0.0001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-06,0.95,0.99,0.0001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-06,0.95,0.995,0.0001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-06,0.95,0.999,0.0001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,0.0001,0.8,0.99,0.0001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,0.0001,0.8,0.995,0.0001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,0.0001,0.8,0.999,0.0001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,0.0001,0.9,0.99,0.0001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,0.0001,0.9,0.995,0.0001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,0.0001,0.9,0.999,0.0001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,0.0001,0.95,0.99,0.0001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,0.0001,0.95,0.995,0.0001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,0.0001,0.95,0.999,0.0001,nan
Feynman_1,2,AdamW,1e-06,1e-10,1e-10,1e-10,0.8,0.99,0.001,nan
Feynman_1,2,AdamW,1e-06,1e-10,1e-10,1e-10,0.8,0.995,0.001,nan
Feynman_1,2,AdamW,1e-06,1e-10,1e-10,1e-10,0.8,0.999,0.001,nan
Feynman_1,2,AdamW,1e-06,1e-10,1e-10,1e-10,0.9,0.99,0.001,nan
Feynman_1,2,AdamW,1e-06,1e-10,1e-10,1e-10,0.9,0.995,0.001,nan
Feynman_1,2,AdamW,1e-06,1e-10,1e-10,1e-10,0.9,0.999,0.001,nan
Feynman_1,2,AdamW,1e-06,1e-10,1e-10,1e-10,0.95,0.99,0.001,nan
Feynman_1,2,AdamW,1e-06,1e-10,1e-10,1e-10,0.95,0.995,0.001,nan
Feynman_1,2,AdamW,1e-06,1e-10,1e-10,1e-10,0.95,0.999,0.001,nan
Feynman_1,2,AdamW,1e-06,1e-10,1e-10,1e-08,0.8,0.99,0.001,nan
Feynman_1,2,AdamW,1e-06,1e-10,1e-10,1e-08,0.8,0.995,0.001,nan
Feynman_1,2,AdamW,1e-06,1e-10,1e-10,1e-08,0.8,0.999,0.001,nan
Feynman_1,2,AdamW,1e-06,1e-10,1e-10,1e-08,0.9,0.99,0.001,nan
Feynman_1,2,AdamW,1e-06,1e-10,1e-10,1e-08,0.9,0.995,0.001,nan
Feynman_1,2,AdamW,1e-06,1e-10,1e-10,1e-08,0.9,0.999,0.001,nan
Feynman_1,2,AdamW,1e-06,1e-10,1e-10,1e-08,0.95,0.99,0.001,nan
Feynman_1,2,AdamW,1e-06,1e-10,1e-10,1e-08,0.95,0.995,0.001,nan
Feynman_1,2,AdamW,1e-06,1e-10,1e-10,1e-08,0.95,0.999,0.001,nan
Feynman_1,2,AdamW,1e-06,1e-10,1e-10,1e-06,0.8,0.99,0.001,nan
Feynman_1,2,AdamW,1e-06,1e-10,1e-10,1e-06,0.8,0.995,0.001,nan
Feynman_1,2,AdamW,1e-06,1e-10,1e-10,1e-06,0.8,0.999,0.001,nan
Feynman_1,2,AdamW,1e-06,1e-10,1e-10,1e-06,0.9,0.99,0.001,nan
Feynman_1,2,AdamW,1e-06,1e-10,1e-10,1e-06,0.9,0.995,0.001,nan
Feynman_1,2,AdamW,1e-06,1e-10,1e-10,1e-06,0.9,0.999,0.001,nan
Feynman_1,2,AdamW,1e-06,1e-10,1e-10,1e-06,0.95,0.99,0.001,nan
Feynman_1,2,AdamW,1e-06,1e-10,1e-10,1e-06,0.95,0.995,0.001,nan
Feynman_1,2,AdamW,1e-06,1e-10,1e-10,1e-06,0.95,0.999,0.001,nan
Feynman_1,2,AdamW,1e-06,1e-10,1e-10,0.0001,0.8,0.99,0.001,nan
Feynman_1,2,AdamW,1e-06,1e-10,1e-10,0.0001,0.8,0.995,0.001,nan
Feynman_1,2,AdamW,1e-06,1e-10,1e-10,0.0001,0.8,0.999,0.001,nan
Feynman_1,2,AdamW,1e-06,1e-10,1e-10,0.0001,0.9,0.99,0.001,nan
Feynman_1,2,AdamW,1e-06,1e-10,1e-10,0.0001,0.9,0.995,0.001,nan
Feynman_1,2,AdamW,1e-06,1e-10,1e-10,0.0001,0.9,0.999,0.001,nan
Feynman_1,2,AdamW,1e-06,1e-10,1e-10,0.0001,0.95,0.99,0.001,nan
Feynman_1,2,AdamW,1e-06,1e-10,1e-10,0.0001,0.95,0.995,0.001,nan
Feynman_1,2,AdamW,1e-06,1e-10,1e-10,0.0001,0.95,0.999,0.001,nan
Feynman_1,2,AdamW,3e-06,1e-10,1e-10,1e-10,0.8,0.99,0.001,nan
Feynman_1,2,AdamW,3e-06,1e-10,1e-10,1e-10,0.8,0.995,0.001,nan
Feynman_1,2,AdamW,3e-06,1e-10,1e-10,1e-10,0.8,0.999,0.001,nan
Feynman_1,2,AdamW,3e-06,1e-10,1e-10,1e-10,0.9,0.99,0.001,nan
Feynman_1,2,AdamW,3e-06,1e-10,1e-10,1e-10,0.9,0.995,0.001,nan
Feynman_1,2,AdamW,3e-06,1e-10,1e-10,1e-10,0.9,0.999,0.001,nan
Feynman_1,2,AdamW,3e-06,1e-10,1e-10,1e-10,0.95,0.99,0.001,nan
Feynman_1,2,AdamW,3e-06,1e-10,1e-10,1e-10,0.95,0.995,0.001,nan
Feynman_1,2,AdamW,3e-06,1e-10,1e-10,1e-10,0.95,0.999,0.001,nan
Feynman_1,2,AdamW,3e-06,1e-10,1e-10,1e-08,0.8,0.99,0.001,nan
Feynman_1,2,AdamW,3e-06,1e-10,1e-10,1e-08,0.8,0.995,0.001,nan
Feynman_1,2,AdamW,3e-06,1e-10,1e-10,1e-08,0.8,0.999,0.001,nan
Feynman_1,2,AdamW,3e-06,1e-10,1e-10,1e-08,0.9,0.99,0.001,nan
Feynman_1,2,AdamW,3e-06,1e-10,1e-10,1e-08,0.9,0.995,0.001,nan
Feynman_1,2,AdamW,3e-06,1e-10,1e-10,1e-08,0.9,0.999,0.001,nan
Feynman_1,2,AdamW,3e-06,1e-10,1e-10,1e-08,0.95,0.99,0.001,nan
Feynman_1,2,AdamW,3e-06,1e-10,1e-10,1e-08,0.95,0.995,0.001,nan
Feynman_1,2,AdamW,3e-06,1e-10,1e-10,1e-08,0.95,0.999,0.001,nan
Feynman_1,2,AdamW,3e-06,1e-10,1e-10,1e-06,0.8,0.99,0.001,nan
Feynman_1,2,AdamW,3e-06,1e-10,1e-10,1e-06,0.8,0.995,0.001,nan
Feynman_1,2,AdamW,3e-06,1e-10,1e-10,1e-06,0.8,0.999,0.001,nan
Feynman_1,2,AdamW,3e-06,1e-10,1e-10,1e-06,0.9,0.99,0.001,nan
Feynman_1,2,AdamW,3e-06,1e-10,1e-10,1e-06,0.9,0.995,0.001,nan
Feynman_1,2,AdamW,3e-06,1e-10,1e-10,1e-06,0.9,0.999,0.001,nan
Feynman_1,2,AdamW,3e-06,1e-10,1e-10,1e-06,0.95,0.99,0.001,nan
Feynman_1,2,AdamW,3e-06,1e-10,1e-10,1e-06,0.95,0.995,0.001,nan
Feynman_1,2,AdamW,3e-06,1e-10,1e-10,1e-06,0.95,0.999,0.001,nan
Feynman_1,2,AdamW,3e-06,1e-10,1e-10,0.0001,0.8,0.99,0.001,nan
Feynman_1,2,AdamW,3e-06,1e-10,1e-10,0.0001,0.8,0.995,0.001,nan
Feynman_1,2,AdamW,3e-06,1e-10,1e-10,0.0001,0.8,0.999,0.001,nan
Feynman_1,2,AdamW,3e-06,1e-10,1e-10,0.0001,0.9,0.99,0.001,nan
Feynman_1,2,AdamW,3e-06,1e-10,1e-10,0.0001,0.9,0.995,0.001,nan
Feynman_1,2,AdamW,3e-06,1e-10,1e-10,0.0001,0.9,0.999,0.001,nan
Feynman_1,2,AdamW,3e-06,1e-10,1e-10,0.0001,0.95,0.99,0.001,nan
Feynman_1,2,AdamW,3e-06,1e-10,1e-10,0.0001,0.95,0.995,0.001,nan
Feynman_1,2,AdamW,3e-06,1e-10,1e-10,0.0001,0.95,0.999,0.001,nan
Feynman_1,2,AdamW,1e-05,1e-10,1e-10,1e-10,0.8,0.99,0.001,nan
Feynman_1,2,AdamW,1e-05,1e-10,1e-10,1e-10,0.8,0.995,0.001,nan
Feynman_1,2,AdamW,1e-05,1e-10,1e-10,1e-10,0.8,0.999,0.001,nan
Feynman_1,2,AdamW,1e-05,1e-10,1e-10,1e-10,0.9,0.99,0.001,nan
Feynman_1,2,AdamW,1e-05,1e-10,1e-10,1e-10,0.9,0.995,0.001,nan
Feynman_1,2,AdamW,1e-05,1e-10,1e-10,1e-10,0.9,0.999,0.001,nan
Feynman_1,2,AdamW,1e-05,1e-10,1e-10,1e-10,0.95,0.99,0.001,nan
Feynman_1,2,AdamW,1e-05,1e-10,1e-10,1e-10,0.95,0.995,0.001,nan
Feynman_1,2,AdamW,1e-05,1e-10,1e-10,1e-10,0.95,0.999,0.001,nan
Feynman_1,2,AdamW,1e-05,1e-10,1e-10,1e-08,0.8,0.99,0.001,nan
Feynman_1,2,AdamW,1e-05,1e-10,1e-10,1e-08,0.8,0.995,0.001,nan
Feynman_1,2,AdamW,1e-05,1e-10,1e-10,1e-08,0.8,0.999,0.001,nan
Feynman_1,2,AdamW,1e-05,1e-10,1e-10,1e-08,0.9,0.99,0.001,nan
Feynman_1,2,AdamW,1e-05,1e-10,1e-10,1e-08,0.9,0.995,0.001,nan
Feynman_1,2,AdamW,1e-05,1e-10,1e-10,1e-08,0.9,0.999,0.001,nan
Feynman_1,2,AdamW,1e-05,1e-10,1e-10,1e-08,0.95,0.99,0.001,nan
Feynman_1,2,AdamW,1e-05,1e-10,1e-10,1e-08,0.95,0.995,0.001,nan
Feynman_1,2,AdamW,1e-05,1e-10,1e-10,1e-08,0.95,0.999,0.001,nan
Feynman_1,2,AdamW,1e-05,1e-10,1e-10,1e-06,0.8,0.99,0.001,nan
Feynman_1,2,AdamW,1e-05,1e-10,1e-10,1e-06,0.8,0.995,0.001,nan
Feynman_1,2,AdamW,1e-05,1e-10,1e-10,1e-06,0.8,0.999,0.001,nan
Feynman_1,2,AdamW,1e-05,1e-10,1e-10,1e-06,0.9,0.99,0.001,nan
Feynman_1,2,AdamW,1e-05,1e-10,1e-10,1e-06,0.9,0.995,0.001,nan
Feynman_1,2,AdamW,1e-05,1e-10,1e-10,1e-06,0.9,0.999,0.001,nan
Feynman_1,2,AdamW,1e-05,1e-10,1e-10,1e-06,0.95,0.99,0.001,nan
Feynman_1,2,AdamW,1e-05,1e-10,1e-10,1e-06,0.95,0.995,0.001,nan
Feynman_1,2,AdamW,1e-05,1e-10,1e-10,1e-06,0.95,0.999,0.001,nan
Feynman_1,2,AdamW,1e-05,1e-10,1e-10,0.0001,0.8,0.99,0.001,nan
Feynman_1,2,AdamW,1e-05,1e-10,1e-10,0.0001,0.8,0.995,0.001,nan
Feynman_1,2,AdamW,1e-05,1e-10,1e-10,0.0001,0.8,0.999,0.001,nan
Feynman_1,2,AdamW,1e-05,1e-10,1e-10,0.0001,0.9,0.99,0.001,nan
Feynman_1,2,AdamW,1e-05,1e-10,1e-10,0.0001,0.9,0.995,0.001,nan
Feynman_1,2,AdamW,1e-05,1e-10,1e-10,0.0001,0.9,0.999,0.001,nan
Feynman_1,2,AdamW,1e-05,1e-10,1e-10,0.0001,0.95,0.99,0.001,nan
Feynman_1,2,AdamW,1e-05,1e-10,1e-10,0.0001,0.95,0.995,0.001,nan
Feynman_1,2,AdamW,1e-05,1e-10,1e-10,0.0001,0.95,0.999,0.001,nan
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,1e-10,0.8,0.99,0.001,nan
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,1e-10,0.8,0.995,0.001,nan
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,1e-10,0.8,0.999,0.001,nan
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,1e-10,0.9,0.99,0.001,nan
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,1e-10,0.9,0.995,0.001,nan
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,1e-10,0.9,0.999,0.001,nan
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,1e-10,0.95,0.99,0.001,nan
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,1e-10,0.95,0.995,0.001,nan
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,1e-10,0.95,0.999,0.001,nan
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,1e-08,0.8,0.99,0.001,nan
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,1e-08,0.8,0.995,0.001,nan
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,1e-08,0.8,0.999,0.001,nan
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,1e-08,0.9,0.99,0.001,nan
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,1e-08,0.9,0.995,0.001,nan
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,1e-08,0.9,0.999,0.001,nan
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,1e-08,0.95,0.99,0.001,nan
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,1e-08,0.95,0.995,0.001,nan
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,1e-08,0.95,0.999,0.001,nan
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,1e-06,0.8,0.99,0.001,nan
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,1e-06,0.8,0.995,0.001,nan
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,1e-06,0.8,0.999,0.001,nan
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,1e-06,0.9,0.99,0.001,nan
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,1e-06,0.9,0.995,0.001,nan
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,1e-06,0.9,0.999,0.001,nan
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,1e-06,0.95,0.99,0.001,nan
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,1e-06,0.95,0.995,0.001,nan
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,1e-06,0.95,0.999,0.001,nan
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,0.0001,0.8,0.99,0.001,nan
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,0.0001,0.8,0.995,0.001,nan
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,0.0001,0.8,0.999,0.001,nan
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,0.0001,0.9,0.99,0.001,nan
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,0.0001,0.9,0.995,0.001,nan
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,0.0001,0.9,0.999,0.001,nan
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,0.0001,0.95,0.99,0.001,nan
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,0.0001,0.95,0.995,0.001,nan
Feynman_1,2,AdamW,3e-05,1e-10,1e-10,0.0001,0.95,0.999,0.001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-10,0.8,0.99,0.001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-10,0.8,0.995,0.001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-10,0.8,0.999,0.001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-10,0.9,0.99,0.001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-10,0.9,0.995,0.001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-10,0.9,0.999,0.001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-10,0.95,0.99,0.001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-10,0.95,0.995,0.001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-10,0.95,0.999,0.001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-08,0.8,0.99,0.001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-08,0.8,0.995,0.001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-08,0.8,0.999,0.001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-08,0.9,0.99,0.001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-08,0.9,0.995,0.001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-08,0.9,0.999,0.001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-08,0.95,0.99,0.001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-08,0.95,0.995,0.001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-08,0.95,0.999,0.001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-06,0.8,0.99,0.001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-06,0.8,0.995,0.001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-06,0.8,0.999,0.001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-06,0.9,0.99,0.001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-06,0.9,0.995,0.001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-06,0.9,0.999,0.001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-06,0.95,0.99,0.001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-06,0.95,0.995,0.001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,1e-06,0.95,0.999,0.001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,0.0001,0.8,0.99,0.001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,0.0001,0.8,0.995,0.001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,0.0001,0.8,0.999,0.001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,0.0001,0.9,0.99,0.001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,0.0001,0.9,0.995,0.001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,0.0001,0.9,0.999,0.001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,0.0001,0.95,0.99,0.001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,0.0001,0.95,0.995,0.001,nan
Feynman_1,2,AdamW,0.0001,1e-10,1e-10,0.0001,0.95,0.999,0.001,nan
Feynman_1,3,basic,1e-06,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,46.7244
Feynman_1,3,basic,3e-06,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,42.2149
Feynman_1,3,basic,1e-05,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,30.6603
Feynman_1,3,basic,3e-05,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,16.6245
Feynman_1,3,basic,0.0001,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,11.8456
Feynman_1,3,basic,0.0003,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,12.1745
Feynman_1,3,basic,0.001,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,12.6607
Feynman_1,3,basic,0.003,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,12.7108
Feynman_1,3,heavy ball,1e-05,0.7,1e-10,1e-10,1e-10,1e-10,1e-10,57.5941
Feynman_1,3,heavy ball,3e-05,0.7,1e-10,1e-10,1e-10,1e-10,1e-10,33.8764
Feynman_1,3,heavy ball,0.0001,0.7,1e-10,1e-10,1e-10,1e-10,1e-10,23.932
Feynman_1,3,heavy ball,0.0003,0.7,1e-10,1e-10,1e-10,1e-10,1e-10,18.5927
Feynman_1,3,heavy ball,0.001,0.7,1e-10,1e-10,1e-10,1e-10,1e-10,12.5925
Feynman_1,3,heavy ball,1e-05,0.8,1e-10,1e-10,1e-10,1e-10,1e-10,49.1494
Feynman_1,3,heavy ball,3e-05,0.8,1e-10,1e-10,1e-10,1e-10,1e-10,27.7517
Feynman_1,3,heavy ball,0.0001,0.8,1e-10,1e-10,1e-10,1e-10,1e-10,16.9784
Feynman_1,3,heavy ball,0.0003,0.8,1e-10,1e-10,1e-10,1e-10,1e-10,16.4025
Feynman_1,3,heavy ball,0.001,0.8,1e-10,1e-10,1e-10,1e-10,1e-10,nan
Feynman_1,3,heavy ball,1e-05,0.85,1e-10,1e-10,1e-10,1e-10,1e-10,17.8858
Feynman_1,3,heavy ball,3e-05,0.85,1e-10,1e-10,1e-10,1e-10,1e-10,34.1729
Feynman_1,3,heavy ball,0.0001,0.85,1e-10,1e-10,1e-10,1e-10,1e-10,nan
Feynman_1,3,heavy ball,0.0003,0.85,1e-10,1e-10,1e-10,1e-10,1e-10,nan
Feynman_1,3,heavy ball,0.001,0.85,1e-10,1e-10,1e-10,1e-10,1e-10,nan
Feynman_1,3,heavy ball,1e-05,0.9,1e-10,1e-10,1e-10,1e-10,1e-10,8.79163
Feynman_1,3,heavy ball,3e-05,0.9,1e-10,1e-10,1e-10,1e-10,1e-10,inf
Feynman_1,3,heavy ball,0.0001,0.9,1e-10,1e-10,1e-10,1e-10,1e-10,nan
Feynman_1,3,heavy ball,0.0003,0.9,1e-10,1e-10,1e-10,1e-10,1e-10,nan
Feynman_1,3,heavy ball,0.001,0.9,1e-10,1e-10,1e-10,1e-10,1e-10,nan
Feynman_1,3,heavy ball,1e-05,0.95,1e-10,1e-10,1e-10,1e-10,1e-10,nan
Feynman_1,3,heavy ball,3e-05,0.95,1e-10,1e-10,1e-10,1e-10,1e-10,nan
Feynman_1,3,heavy ball,0.0001,0.95,1e-10,1e-10,1e-10,1e-10,1e-10,nan
Feynman_1,3,heavy ball,0.0003,0.95,1e-10,1e-10,1e-10,1e-10,1e-10,nan
Feynman_1,3,heavy ball,0.001,0.95,1e-10,1e-10,1e-10,1e-10,1e-10,nan
Feynman_1,3,NAG,1e-05,0.7,1e-10,1e-10,1e-10,1e-10,1e-10,57.3784
Feynman_1,3,NAG,3e-05,0.7,1e-10,1e-10,1e-10,1e-10,1e-10,33.7208
Feynman_1,3,NAG,0.0001,0.7,1e-10,1e-10,1e-10,1e-10,1e-10,23.8623
Feynman_1,3,NAG,0.0003,0.7,1e-10,1e-10,1e-10,1e-10,1e-10,18.7103
Feynman_1,3,NAG,0.001,0.7,1e-10,1e-10,1e-10,1e-10,1e-10,13.3147
Feynman_1,3,NAG,1e-05,0.8,1e-10,1e-10,1e-10,1e-10,1e-10,49.6057
Feynman_1,3,NAG,3e-05,0.8,1e-10,1e-10,1e-10,1e-10,1e-10,24.9774
Feynman_1,3,NAG,0.0001,0.8,1e-10,1e-10,1e-10,1e-10,1e-10,39.2572
Feynman_1,3,NAG,0.0003,0.8,1e-10,1e-10,1e-10,1e-10,1e-10,nan
Feynman_1,3,NAG,0.001,0.8,1e-10,1e-10,1e-10,1e-10,1e-10,nan
Feynman_1,3,NAG,1e-05,0.85,1e-10,1e-10,1e-10,1e-10,1e-10,24.0767
Feynman_1,3,NAG,3e-05,0.85,1e-10,1e-10,1e-10,1e-10,1e-10,13.8712
Feynman_1,3,NAG,0.0001,0.85,1e-10,1e-10,1e-10,1e-10,1e-10,nan
Feynman_1,3,NAG,0.0003,0.85,1e-10,1e-10,1e-10,1e-10,1e-10,nan
Feynman_1,3,NAG,0.001,0.85,1e-10,1e-10,1e-10,1e-10,1e-10,nan
Feynman_1,3,NAG,1e-05,0.9,1e-10,1e-10,1e-10,1e-10,1e-10,nan
Feynman_1,3,NAG,3e-05,0.9,1e-10,1e-10,1e-10,1e-10,1e-10,nan
Feynman_1,3,NAG,0.0001,0.9,1e-10,1e-10,1e-10,1e-10,1e-10,nan
Feynman_1,3,NAG,0.0003,0.9,1e-10,1e-10,1e-10,1e-10,1e-10,nan
Feynman_1,3,NAG,0.001,0.9,1e-10,1e-10,1e-10,1e-10,1e-10,nan
Feynman_1,3,NAG,1e-05,0.95,1e-10,1e-10,1e-10,1e-10,1e-10,nan
Feynman_1,3,NAG,3e-05,0.95,1e-10,1e-10,1e-10,1e-10,1e-10,nan
Feynman_1,3,NAG,0.0001,0.95,1e-10,1e-10,1e-10,1e-10,1e-10,nan
Feynman_1,3,NAG,0.0003,0.95,1e-10,1e-10,1e-10,1e-10,1e-10,nan
Feynman_1,3,NAG,0.001,0.95,1e-10,1e-10,1e-10,1e-10,1e-10,nan
Feynman_1,3,AdaGrad,0.0003,1e-10,1e-10,1e-10,1e-10,1e-10,1e-10,13.1168
